name,note,source,group,subgroup
Pixie Lead,"Mind 3, Correspondence 2",Book of Shadows page 145; Enlightened Grimoire p. 99,Movement and Communication,
Planned Projection,Time 2,Technocracy: Iteration X page 49; Enlightened Grimoire p. 31,Divination and Fate,
Plausible Denial,Mind 3,Technocracy: New World Order page 46; Enlightened Grimoire p. 193,Uncanny Influence,
Point-to-Point Narrow-Band Transmission,"Forces 2 or 3, Correspondence 2, optional Prime 2",Hidden Lore page 18; Enlightened Grimoire p. 104,Movement and Communication,
Polyappearance,Correspondence 4,Mage: The Ascension First Edition page 187; Mage: The Ascension Second Edition page 191; Mage: The Ascension Revised page 160; Enlightened Grimoire p. 145,Space-Time Management,
Polysorbate,"Life 2, Mind 2, Prime 1",Guide to the Technocracy page 211; Enlightened Grimoire p. 69,Healing and Harming,
Pop Goes the Weasel,"Life 3, Forces 2, Prime 2",Orphan’s Survival Guide page 129; Enlightened Grimoire p. 42,Elemental Magick,
Positive Thinking,Mind 1,Initiates of the Art page 81; Enlightened Grimoire p. 126,Mystic Perception,
Positronic Brain,Mind 1,Technocracy: Iteration X page 48; Enlightened Grimoire p. 178,Transformations,
Possess Flame,"Forces 2 or 4, Mind 4, optional Prime 2",The Spirit Ways page 88; Enlightened Grimoire p. 42,Elemental Magick,
Postcognition,Time 2,Mage: The Ascension First Edition page 218; Mage: The Ascension Second Edition page 223; Enlightened Grimoire p. 32,Divination and Fate,
Presentation of the Passage Stick,Spirit 3,Dead Magic 2 page 65; Enlightened Grimoire p. 109,Movement and Communication,
Pretty-Shinies,"Correspondence 1, Entropy 1, Matter 1, Mind 1, Prime 1, Spirit 1",Mage Storyteller’s Companion page 63; Enlightened Grimoire p. 90,Inanimate Objects,
Primal Net,"Life 2, Matter 2, Prime 2",Technocracy: Progenitors page 46 (as Quintessence Net); Convention Book: Progenitors (Revised) page 74; Enlightened Grimoire p. 51,Energy-Work,
Prime Location,"Correspondence 1 or 2, Prime 1; Prime 3",Book of Shadows page 145; Enlightened Grimoire p. 49,Energy-Work,
Processing,"Mind 5, Prime 2",Convention Book: New World Order (Revised) page 86; Enlightened Grimoire p. 195,Uncanny Influence,
Programming,Mind 3,Guide to the Technocracy page 214; Enlightened Grimoire p. 195,Uncanny Influence,
Prolong Pleasure/Pain,"Mind 3, Time 3",Tradition Book: Cult of Ecstasy (First Edition) page 66; Enlightened Grimoire p. 77,Healing and Harming,
Proof against Immolation,"Matter 3, Prime 2",Book of Crafts page 42; Enlightened Grimoire p. 42,Elemental Magick,
Protection of the Golden Race,Spirit 3,Dead Magic page 131; Enlightened Grimoire p. 159,"Summoning, Binding and Warding",
Protection Song,"Correspondence 4, Forces 2, optional Spirit 2",Dead Magic 2 page 126; Enlightened Grimoire p. 161,"Summoning, Binding and Warding",
Psychic Impression,Mind 2,Mage: The Ascension Second Edition page 210; Mage: The Ascension Revised page 177; Enlightened Grimoire p. 53,Energy-Work,
Psychic Intrusion,Mind 2,Technocracy: New World Order page 45; Enlightened Grimoire p. 195,Uncanny Influence,
Psychic Sterilization,Spirit 4,Mage: The Ascension First Edition page 215; Mage: The Ascension Second Edition page 218; Enlightened Grimoire p. 161,"Summoning, Binding and Warding",
Psychological Breaking Point,"Mind 2, Entropy 1",Technocracy: New World Order page 48; Enlightened Grimoire p. 126,Mystic Perception,
Public Posting,"Mind 2 or 3, Correspondence 2, Prime 2",Hidden Lore page 20; Enlightened Grimoire p. 104,Movement and Communication,
Purge Thought Crime,"Mind 3, Prime 3",Guide to the Technocracy page 215; Enlightened Grimoire p. 195,Uncanny Influence,
Purging the System,"Life 3, Matter 3",World of Darkness: Outcasts page 91; Enlightened Grimoire p. 69,Healing and Harming,
Purifying Step,Forces 2 or Spirit 2,Tradition Book: Akashic Brotherhood (Revised) page 66; Enlightened Grimoire p. 62,Enhanced Combat,
Pygmalion's Paradigm,"Matter 4, Life 3, Prime 2, Spirit 2",Book of Shadows page 146; Enlightened Grimoire p. 159,"Summoning, Binding and Warding",
Quantify Energy,Forces 1,Mage: The Ascension Second Edition page 198; Mage: The Ascension First Edition page 195; Enlightened Grimoire p. 123,Mystic Perception,
Quantum Temporal Travel,"Time 3 or 5, Correspondence 3 or 4, Entropy 4",Tradition Book: Sons of Ether (Revised) page 63; Enlightened Grimoire p. 147,Space-Time Management,
Quietsong,"Mind 2 or 3, Entropy 1",Hidden Lore page 13; Enlightened Grimoire p. 77,Healing and Harming,
Radiate Prime Energy,"Prime 3, Entropy 2",Mage: The Ascension First Edition page 226; Enlightened Grimoire p. 51,Energy-Work,
Rapid Healing,Life 2,Order of Reason page 73; Enlightened Grimoire p. 75,Healing and Harming,
Ratstorm,"Correspondence 2, Life 2, Mind 2",Orphan’s Survival Guide page 125; Enlightened Grimoire p. 189,Uncanny Influence,
Ravensong,"Life 2, Mind 2",Orphan’s Survival Guide page 126; Enlightened Grimoire p. 105,Movement and Communication,
Re-education Mode,"Mind 4, Time 3, Prime 2",Hidden Lore page 53; Enlightened Grimoire p. 195,Uncanny Influence,
Read the Lightning,"Forces 2 or 4, Time 2",Dead Magic 2 page 143; Enlightened Grimoire p. 28,Divination and Fate,
Read the Soul,Mind 1 or Spirit 1,Mage: The Sorcerer’s Crusade page 269; Enlightened Grimoire p. 126,Mystic Perception,
Reading the Umbral Skein,"Mind 1, Spirit 2, Time 2, optional Correspondence 2 or 3",Tradition Book: Dreamspeakers (Revised) page 70; Enlightened Grimoire p. 32,Divination and Fate,
Reanimation,"Spirit 2 or Forces 2, Matter 2, Prime 2",Tradition Book: Euthanatos (Revised) page 66; Enlightened Grimoire p. 135,Necromancy,
Recant,"Entropy 2, Mind 2",Book of Crafts page 103; Enlightened Grimoire p. 195,Uncanny Influence,
Recharge Device,Prime 5,Technocracy: Iteration X page 48; Mage: The Ascension Second Edition page 215; Enlightened Grimoire p. 51,Energy-Work,
Red Button,"Entropy 3, Forces 3, Prime 2",Technocracy: New World Order page 49; Enlightened Grimoire p. 21,Computers,
Reflecting Bane,"Spirit 3 or Mind 1, optional Life 3",Dead Magic page 30; Enlightened Grimoire p. 12,Blessings and Curses,
Remembrance,"Mind 2, Prime 2",Infinite Tapestry page 183; Enlightened Grimoire p. 99,Movement and Communication,
Remote Access,"Correspondence 2, Forces 2",Digital Web 2.0 page 113; Enlightened Grimoire p. 23,Computers,
Remote Piloting Override,"Correspondence 2, Forces 2",Hidden Lore page 53; Enlightened Grimoire p. 99,Movement and Communication,
Remote Programming,Forces 2,Technocracy: Iteration X page 47; Enlightened Grimoire p. 23,Computers,
Repel the Hungry Dead,"Spirit 4, Prime 2",Book of Crafts page 135; Enlightened Grimoire p. 162,"Summoning, Binding and Warding",
Repel the Kuei,Mind 2 or Spirit 2,Dragons of the East page 59; Enlightened Grimoire p. 162,"Summoning, Binding and Warding",
Return to Darkness,"Entropy 2, Forces 2 or 3",Hidden Lore page 16; Enlightened Grimoire p. 141,Obfuscation,
Reverie,Spirit 3,Order of Reason page 85; Enlightened Grimoire p. 114,Movement and Communication,
Riding the Railroad,Correspondence 3 or 4,Tradition Book: Hollow Ones (Revised) page 62; Enlightened Grimoire p. 111,Movement and Communication,
Ring of Truth,Entropy 1,Mage: The Ascension Second Edition page 193; Mage: The Ascension Revised page 162; Enlightened Grimoire p. 122,Mystic Perception,
Rokea'ole,"Life 3, Spirit 3",Dead Magic 2 page 29; Enlightened Grimoire p. 175,Transformations,
Rolling Hands,Forces 1,Tradition Book: Akashic Brotherhood (Revised) page 67; Enlightened Grimoire p. 62,Enhanced Combat,
Romance,Mind 2,Order of Reason page 78; Enlightened Grimoire p. 184,Uncanny Influence,
Rooftop Leap,"Forces 3, Life 3",Tradition Book: Hollow Ones (Revised) page 63; Enlightened Grimoire p. 116,Movement and Communication,
Rouge,Life 2,Order of Reason page 73; Enlightened Grimoire p. 167,Transformations,
Rouse the Dragon,"Forces 5, Matter 5, Prime 4, Spirit 4",Dragons of the East page 58; Enlightened Grimoire p. 39,Elemental Magick,
Rubbing of Bones,Prime 2,Mage: The Ascension First Edition page 211; Mage: The Ascension Second Edition page 215; Enlightened Grimoire p. 79,Healing and Harming,
Running Scenarios,"Entropy 2, Mind 4, Time 2",Tradition Book: Hollow Ones (Revised) page 68; Enlightened Grimoire p. 32,Divination and Fate,
Sabotage,Matter 2 or Entropy 2,Mage: The Ascension Revised page 163; Order of Reason page 76; Enlightened Grimoire p. 88,Inanimate Objects,
Safecracker,"Entropy 2, Matter 1",Hidden Lore page 16; Enlightened Grimoire p. 103,Movement and Communication,
Salmon of Wisdom,"Mind 3, Time 2, optional Spirit 2",Dead Magic 2 page 120; Enlightened Grimoire p. 33,Divination and Fate,
Scan Memories,"Mind 2; Mind 4, optional Entropy 2 or Time 2",Technocracy: Progenitors page 42; Enlightened Grimoire p. 193,Uncanny Influence,
Scent of Control,"Life 3, Mind 2",Tradition Book: Hollow Ones (Revised) page 63; Enlightened Grimoire p. 187,Uncanny Influence,
Schedule of Heaven,"Spirit 2, Correspondence 2",The Spirit Ways page 88; Enlightened Grimoire p. 114,Movement and Communication,
Sculpture,Matter 3,Mage: The Ascension Second Edition page 207; Mage: The Ascension First Edition page 203; Mage: The Ascension Second Edition page 206; Mage: The Ascension Revised page 173; Enlightened Grimoire p. 83,Inanimate Objects,
Search Engine,"Entropy 4, Correspondence 3, Spirit 3",Dead Magic page 54; Enlightened Grimoire p. 28,Divination and Fate,
Secure the Scene,"Mind 2 or 3, Forces 1, Matter 1, optional Forces 3",Mage: The Ascension 20th Anniversary Edition page 604; Enlightened Grimoire p. 137,Obfuscation,
Sedna's Blessing,"Correspondence 2, Mind 2",Dead Magic page 131; Enlightened Grimoire p. 189,Uncanny Influence,
See no Evil,Spirit 1,Order of Reason page 84; Enlightened Grimoire p. 127,Mystic Perception,
See the Light,"Mind 3, Entropy 3 or Entropy 5",Tradition Book: Celestial Chorus page 65; Enlightened Grimoire p. 195,Uncanny Influence,
See the Soul's Burn,"Entropy 2, Mind 1, Spirit 1",Tradition Book: Euthanatos (First Edition) page 66; Enlightened Grimoire p. 122,Mystic Perception,
Self Possession,Mind 4,Lost Paths: Ahl-i-Batin and Taftani page 91; Enlightened Grimoire p. 196,Uncanny Influence,
Self-Sacrifice,Prime 1,Tradition Book: Verbena (Revised) page 67; Enlightened Grimoire p. 55,Energy-Work,
Semi Auto CAD CAM,Matter 5,Mage: The Ascension First Edition page 221; Enlightened Grimoire p. 83,Inanimate Objects,
Sense Node,"Correspondence 2, Prime 1",Technocracy: New World Order page 48; Enlightened Grimoire p. 49,Energy-Work,
Sense Quintessence,Prime 1,Mage: The Ascension First Edition page 210; Mage: The Ascension Second Edition page 214; Enlightened Grimoire p. 51,Energy-Work,
Sense the Demon's Weakness,"Entropy 1, Spirit 1",Book of Crafts page 135; Enlightened Grimoire p. 155,"Summoning, Binding and Warding",
Sense the Dreamsong,"Correspondence 1, Spirit 1",Dead Magic 2 page 66; Enlightened Grimoire p. 109,Movement and Communication,
Sense the Echo of the Dragon,"Mind 3, Time 2",Mage: The Ascension First Edition page 226; Enlightened Grimoire p. 57,Enhanced Combat,
Sense the Fleeting Moment,Time 1,Tradition Book: Verbena (First Edition) page 63; Enlightened Grimoire p. 128,Mystic Perception,
Sense the Nagloper,"Life 2, Time 2, Matter 1",Dead Magic page 28; Enlightened Grimoire p. 156,"Summoning, Binding and Warding",
Serene Temple,"Mind 1, Life 2",Mage: The Ascension First Edition page 226; Enlightened Grimoire p. 75,Healing and Harming,
Serenity of the Stone,"Prime 5, Time 5, Entropy 4, Life 3, Mind 3",Horizon: Stronghold of Hope page 115; Masters of the Art page 76; Enlightened Grimoire p. 147,Space-Time Management,
Sha'ir's Sentence,"Entropy 3, Life 2, Mind 2",Lost Paths: Ahl-i-Batin and Taftani page 90; Enlightened Grimoire p. 14,Blessings and Curses,
Shadow Project,Forces 2,Orphan’s Survival Guide page 126; Enlightened Grimoire p. 141,Obfuscation,
Shadow Sight,"Correspondence 1, Entropy 1, Mind 1, Spirit 1",Tradition Book: Hollow Ones (Revised) page 66; Enlightened Grimoire p. 131,Necromancy,
Shadows in the Mist,"Forces 2, Spirit 1",Book of Shadows page 143; Enlightened Grimoire p. 156,"Summoning, Binding and Warding",
Shameful Outburst,Mind 2,Order of Reason page 78; Enlightened Grimoire p. 187,Uncanny Influence,
Shango's Grave,"Entropy 3, Forces 5, Matter 2, Prime 2",Mage: The Ascension First Edition page 222; Enlightened Grimoire p. 97,Miscellaneous,
Shapechange Curse,"Life 5, Mind 4",Dead Magic 2 page 120; Enlightened Grimoire p. 175,Transformations,
Shapeshifter Prison,"Life 4, optional Prime 2",Order of Reason page 109; Enlightened Grimoire p. 175,Transformations,
Shapeshifting,Life 5,Technocracy: Progenitors page 40; Enlightened Grimoire p. 175,Transformations,
Sharing the Outsider’s Gaze,"Mind 4, Prime 1, Spirit 3",Infinite Tapestry page 183; Enlightened Grimoire p. 151,"Summoning, Binding and Warding",
Shinobijutsu,"Matter 2, Prime 2",Tradition Book: Akashic Brotherhood (Revised) page 69; Enlightened Grimoire p. 141,Obfuscation,
Shishipat's Favor,"Life 1; Entropy 3, Spirit 2, optional Correspondence 2",Dead Magic page 132; Enlightened Grimoire p. 13,Blessings and Curses,
Shortcut,Correspondence 2 or 3,Order of Reason page 67; Enlightened Grimoire p. 101,Movement and Communication,
Shuttle,Correspondence 3 or 4,Technocracy: Void Engineers page 41; Enlightened Grimoire p. 111,Movement and Communication,
Sidestep Time,Time 5,Mage: The Ascension First Edition page 219; Mage: The Ascension Second Edition page 223; Mage: The Ascension Revised page 194; Enlightened Grimoire p. 147,Space-Time Management,
Simple Biochemical Manipulation,Life 2,Technocracy: Progenitors page 43; Enlightened Grimoire p. 178,Transformations,
Simple Transmutation,Matter 2,Order of Reason page 75; Enlightened Grimoire p. 93,Inanimate Objects,
Simulate Inborn Errors of Metabolism,"Life 4, Entropy 4",Technocracy: Progenitors page 44; Enlightened Grimoire p. 73,Healing and Harming,
Sin,"Entropy 2, Spirit 2, Prime 1 or Entropy 4, Spirit 4, Prime 4",Dead Magic page 54; Enlightened Grimoire p. 29,Divination and Fate,
Sing to the Whales,Mind 2,Dead Magic page 132; Enlightened Grimoire p. 189,Uncanny Influence,
Singularity,"Correspondence 4, Time 3",Mage: The Ascension Revised page 160; Convention Book: Void Engineers (Revised) page 86; Enlightened Grimoire p. 149,Space-Time Management,
Sinner’s Redemption,Mind 5,Order of Reason page 109; Enlightened Grimoire p. 196,Uncanny Influence,
Slow Time,Time 3,Mage: The Ascension First Edition page 219; Mage: The Ascension Second Edition page 223; Enlightened Grimoire p. 147,Space-Time Management,
Smart Drink,"Mind 2, Life 2, Prime 1, Spirit 1, Time 1",Book of Crafts page 41; Enlightened Grimoire p. 129,Mystic Perception,
Smoke Screen,Matter 3,World of Darkness: Outcasts page 91; Enlightened Grimoire p. 141,Obfuscation,
Smoke-bomb Trick,"Forces 2, Life 3",Mage: The Ascension First Edition page 223; Enlightened Grimoire p. 141,Obfuscation,
Smoker's Timing,Time 2,Guide to the Traditions page 280; Enlightened Grimoire p. 143,Space-Time Management,
Sneaking Shadow,"Forces 2, Mind 2",Book of Shadows page 139; Enlightened Grimoire p. 97,Miscellaneous,
Social Conditioning,"Mind 3, Prime 2",Technocracy: New World Order page 46; Guide to the Technocracy page 214; Enlightened Grimoire p. 196,Uncanny Influence,
Song of Orpheus,"Life 4 or 5, Matter 2, Prime 2, Time 2, Spirit 5",Book of Shadows page 147; Enlightened Grimoire p. 134,Necromancy,
Songline Soaring,Spirit 3,Dead Magic 2 page 66; Enlightened Grimoire p. 109,Movement and Communication,
Songs of Future Days,Time 2,Mage: The Ascension First Edition page 218; Mage: The Ascension Second Edition page 223; Enlightened Grimoire p. 33,Divination and Fate,
Soothe the Dead,Spirit 3,Dead Magic page 30; Enlightened Grimoire p. 133,Necromancy,
Soul Cloak,"Spirit 3, Entropy 2, Mind 2, Prime 2",Infernalism: The Path of Screams page 87; Enlightened Grimoire p. 139,Obfuscation,
Soul Shaping,"Spirit 5, Mind 4, Prime 3",World of Darkness: Outcasts page 90; Enlightened Grimoire p. 197,Uncanny Influence,
Sound/Thought Transfer,"Forces 2, Mind 3",Tradition Book: Hollow Ones (Revised) page 63; Enlightened Grimoire p. 104,Movement and Communication,
Sparrow’s Fall,Entropy 5,Tradition Book: Euthanatos (Revised) page 62; Order of Reason page 110; Enlightened Grimoire p. 29,Divination and Fate,
Spearcatcher Rune,"Correspondence 1, Time 3, optional Forces 3",Dead Magic 2 page 98; Enlightened Grimoire p. 57,Enhanced Combat,
Spinning Thread,"Forces 3 or Matter 3, Prime 2, Spirit 2",Lost Paths: Ahl-i-Batin and Taftani page 91; Enlightened Grimoire p. 51,Energy-Work,
Spirit Cloak,"Mind 2, Spirit 2",Tradition Book: Dreamspeakers (First Edition) page 67; Enlightened Grimoire p. 114,Movement and Communication,
Spirit Eating,"Mind 3, Prime 3, Spirit 2",Tradition Book: Dreamspeakers (Revised) page 69; Enlightened Grimoire p. 151,"Summoning, Binding and Warding",
Spirit Pilgrimage,"Prime 5, Life 3",Mage: The Ascension First Edition page 226; Enlightened Grimoire p. 53,Energy-Work,
Spirit Roster,"Correspondence 2, Spirit 1 or 2",Hidden Lore page 15; Enlightened Grimoire p. 159,"Summoning, Binding and Warding",
Spirit Slaying,"Spirit 2, Prime 2",Tradition Book: Dreamspeakers (Revised) page 69; Enlightened Grimoire p. 151,"Summoning, Binding and Warding",
Spirit Wall,Spirit 4,Mage: The Sorcerer’s Crusade page 273; Enlightened Grimoire p. 162,"Summoning, Binding and Warding",
Spirit Wounder,Spirit 2,Tradition Book: Akashic Brotherhood (First Edition) page 64; Enlightened Grimoire p. 62,Enhanced Combat,
Spirit Wounding,"Spirit 4, Matter 3",Book of Shadows page 143; Enlightened Grimoire p. 151,"Summoning, Binding and Warding",
Spiritual Persuasion,"Mind 2, Spirit 2; Spirit 2",Tradition Book: Dreamspeakers (Revised) page 67; Enlightened Grimoire p. 153,"Summoning, Binding and Warding",
Splitting a Cuirass,"Forces 2, optional Matter 3",Dead Magic 2 page 98; Enlightened Grimoire p. 63,Enhanced Combat,
Spontaneous Generation,"Life 3 or Matter 3, Prime 2",Dead Magic page 108; Enlightened Grimoire p. 171,Transformations,
Spot the Man,"Correspondence 1, Life 1, Matter 1, Prime 1",Tradition Book: Hollow Ones (Revised) page 63; Enlightened Grimoire p. 127,Mystic Perception,
Statistical Mechanics,Entropy 2,Technocracy: Iteration X page 47; Enlightened Grimoire p. 15,Blessings and Curses,
Stay the God's Hand,"Entropy 1, Life 1 or 3",Dead Magic page 52; Enlightened Grimoire p. 75,Healing and Harming,
Stepping Sideways,Spirit 3,Mage: The Ascension First Edition page 214; Mage: The Ascension Second Edition page 218; Mage: The Ascension Revised page 188; Enlightened Grimoire p. 114,Movement and Communication,
Stoicism,"Mind 1, Matter 1",Dead Magic page 108; Enlightened Grimoire p. 181,Uncanny Influence,
Stop-Gap Resurrection,"Life 4, Mind 4",Convention Book: Progenitors (Revised) page 74; Enlightened Grimoire p. 79,Healing and Harming,
Storm Rune,"Entropy 3, Forces 3",Dead Magic 2 page 99; Enlightened Grimoire p. 44,Elemental Magick,
"Strains of Laughter, Sleep and Sorrow",Mind 2,Tradition Book: Verbena (Revised) page 67; Enlightened Grimoire p. 187,Uncanny Influence,
Subliminal Impulse,Mind 2,Mage: The Ascension First Edition page 206; Mage: The Ascension Second Edition page 210; Enlightened Grimoire p. 104,Movement and Communication,
Subliminal Transmission,"Mind 2 or 4, Correspondence 2 or 3, optional Entropy 2",Digital Web 2.0 page 113; Enlightened Grimoire p. 104,Movement and Communication,
Subtle Persuasion,"Mind 2, Prime 2",Order of Reason page 90; Enlightened Grimoire p. 188,Uncanny Influence,
Summon the Earthly Gods,"Spirit 4, Mind 4, Correspondence 4",Dragons of the East page 59; Enlightened Grimoire p. 159,"Summoning, Binding and Warding",
Summon Volva,"Entropy 1, Spirit 2, optional Correspondence 2, optional Time 2",Dead Magic 2 page 103; Enlightened Grimoire p. 135,Necromancy,
Supporting the Brain,"Life 4, Matter 2, Mind 2, Prime 2",Book of Shadows page 143; Enlightened Grimoire p. 171,Transformations,
Sure Footing,"Matter 3, Prime 2",Tradition Book: Akashic Brotherhood (First Edition) page 62; Enlightened Grimoire p. 116,Movement and Communication,
Surpu,"Life 3, Spirit 2",Dead Magic page 55; Enlightened Grimoire p. 75,Healing and Harming,
Survivor’s Charm,Life 2 or 3,Mage: The Sorcerer’s Crusade page 271; Enlightened Grimoire p. 179,Transformations,
Sustenance Pill,"Life 3, Prime 2",Hidden Lore page 52; Enlightened Grimoire p. 69,Healing and Harming,
Symphony of the Soul,Time 3,Order of Reason page 87; Enlightened Grimoire p. 147,Space-Time Management,
Synchronize Watches,Time 1,Technocracy: New World Order page 48; Enlightened Grimoire p. 143,Space-Time Management,
System Crash,"Correspondence 2, Forces 2, Prime 2",Digital Web 2.0 page 113; Enlightened Grimoire p. 21,Computers,
System Havoc,Forces 2,Mage: The Ascension First Edition page 195; Mage: The Ascension Second Edition page 198; Enlightened Grimoire p. 21,Computers,
Taliesin's Song,"Life 3, Mind 2",Tradition Book: Verbena (First Edition) page 64; Enlightened Grimoire p. 184,Uncanny Influence,
Talisman Transmogrification,"Matter 3, Prime 3",Mage: The Ascension First Edition page 225; Enlightened Grimoire p. 90,Inanimate Objects,
Talons,"Life 3 or 4, optional Matter 2, optional Prime 2",Book of Shadows page 146; Mage: The Ascension 20th Anniversary Edition page 609; Enlightened Grimoire p. 179,Transformations,
Tap Node,Prime 3,Technocracy: Void Engineers page 45; Enlightened Grimoire p. 49,Energy-Work,
Targeting Computation,Correspondence 1,Technocracy: Iteration X page 47; Order of Reason page 66 (as Targeting); Artisan’s Handbook page 46 (as Aiming Grid); Enlightened Grimoire p. 57,Enhanced Combat,
Telltale,Correspondence 2,Order of Reason page 65; Enlightened Grimoire p. 162,"Summoning, Binding and Warding",
Temper Viasilicos,"Correspondence 2, Mind 1",Order of Reason page 107; Enlightened Grimoire p. 105,Movement and Communication,
Tempest in a Teapot,Forces 3,Mage: The Ascension Second Edition page 199; Mage: The Ascension Revised page 168; Dead Magic 2 page 29; Enlightened Grimoire p. 44,Elemental Magick,
Temple Gongs,"Forces 4, Matter 4, Mind 4, Life 3, Prime 2",Hidden Lore page 52; Enlightened Grimoire p. 197,Uncanny Influence,
Terminal Sanitization,Prime 5,Technocracy: Void Engineers page 46; Enlightened Grimoire p. 49,Energy-Work,
That Rascal Puff,"Life 3, Forces 3, Prime 2, Correspondence 2",Hidden Lore page 51; Enlightened Grimoire p. 21,Computers,
The Ball Game,Life 2,Dead Magic page 76; Enlightened Grimoire p. 53,Energy-Work,
The Burning Lotus,"Prime 5, Entropy 4, Forces 3, optional Spirit 2, optional Mind 3",Tradition Book: Euthanatos (First Edition) page 68; Enlightened Grimoire p. 49,Energy-Work,
The Curse of Consequences,"Mind 3, Spirit 1",Tradition Book: Dreamspeakers (Revised) page 66; Enlightened Grimoire p. 77,Healing and Harming,
The Endless Pool,"Correspondence 4, optional Life 3 and Time 4 or 5",Book of Crafts page 58; Enlightened Grimoire p. 111,Movement and Communication,
The Foundling,"Correspondence 2, Life 5, Matter 2, Mind 3, Spirit 4",Mage Storyteller’s Companion page 63; Enlightened Grimoire p. 170,Transformations,
The Frenzy of the Spinning Wheels,Time 3,Artisan’s Handbook page 52; Enlightened Grimoire p. 146,Space-Time Management,
The Golden Apple,"Matter 2, Mind 2 or Matter 2, Mind 3, Prime 3",Blood Treachery page 91; Enlightened Grimoire p. 185,Uncanny Influence,
The Golden Lion,"Matter 2, optional Prime 2 or 3",Mage: The Sorcerer’s Crusade page 271; Enlightened Grimoire p. 92,Inanimate Objects,
The Hand of the Siphoner,"Prime 3, Matter 1",Book of Chantries page 149; Enlightened Grimoire p. 51,Energy-Work,
The Hero’s Challenge,Mind 2,The Swashbuckler’s Handbook page 91; Enlightened Grimoire p. 63,Enhanced Combat,
The Incredible Shrunken Machine,"Matter 5, Forces 3, Prime 2",Mage: The Ascension First Edition page 224; Enlightened Grimoire p. 81,Inanimate Objects,
The Key of Vanth,"Forces 2, Matter 2, Prime 2",Dead Magic 2 page 144; Enlightened Grimoire p. 135,Necromancy,
The Look/The Word,Mind 2,Technocracy: Syndicate page 46; Enlightened Grimoire p. 186,Uncanny Influence,
The Master's Hand,"Life 1, Prime 2",Mage Storyteller’s Companion page 63; Enlightened Grimoire p. 161,"Summoning, Binding and Warding",
The Moment that Stretches,"Mind 1 or 4, Time 3",Hidden Lore page 14; Enlightened Grimoire p. 146,Space-Time Management,
The Notorious Vampiric Lawn Chair,"Life 5, Matter 5",Mage: The Ascension 20th Anniversary Edition page; Enlightened Grimoire p. 174,Transformations,
The Rush,Prime 1,Mage: The Ascension First Edition page 210; Mage: The Ascension Second Edition page 214; Enlightened Grimoire p. 51,Energy-Work,
The Seven Golden Swords of the Tiger,"Matter 3, Spirit 3, Correspondence 4, Forces 2, Prime 2",Book of Crafts page 135; Enlightened Grimoire p. 162,"Summoning, Binding and Warding",
The Seven-League Stride,Correspondence 3,Mage: The Ascension First Edition page 185; Mage: The Ascension Second Edition page 189; Mage: The Ascension Revised page 159; Enlightened Grimoire p. 101,Movement and Communication,
The Trip,"Mind 4, Correspondence 2, Time 2, Entropy 1; Entropy 5",Mage: The Ascension Second Edition page 195; Book of Shadows page 410; Enlightened Grimoire p. 190,Uncanny Influence,
The Weeping Willow,Life 5,Book of Crafts page 89; Enlightened Grimoire p. 175,Transformations,
Thick Skin,Life 2 or 3,Orphan’s Survival Guide page 126; Enlightened Grimoire p. 179,Transformations,
Thief in the Night,"Correspondence 1, Forces 1 or 2, optional Entropy 2",Book of Crafts page 102; Enlightened Grimoire p. 103,Movement and Communication,
Threefold Return,"Entropy 4, Time 4",Tradition Book: Verbena (Revised) page 68; Enlightened Grimoire p. 9,Blessings and Curses,
Thunder Bridge,"Forces 3, Prime 2, optional Matter 2; Spirit 2, Forces 2",Dragons of the East page 58; Enlightened Grimoire p. 116,Movement and Communication,
Thunder’s Gauntlet,Mind 3,Mage: The Ascension Revised page 178; Enlightened Grimoire p. 105,Movement and Communication,
Time Lock,"Time 4, Forces 2 or 3, optional Prime 2",Tradition Book: Order of Hermes (First Edition) page 66; Enlightened Grimoire p. 37,Elemental Magick,
Time Warp,Time 5,Mage: The Ascension Revised page 193; Enlightened Grimoire p. 147,Space-Time Management,
Time-Motion Study,"Correspondence 1, Time 1",Technocracy: Iteration X page 49; Enlightened Grimoire p. 59,Enhanced Combat,
Titan’s Power,Life 3 or 4,Mage: The Sorcerer’s Crusade page 273; Enlightened Grimoire p. 179,Transformations,
Tolerance,"Life 2, Mind 1",Tradition Book: Cult of Ecstasy (Revised) page 72; Enlightened Grimoire p. 71,Healing and Harming,
Trailblazing,"Prime 2, Spirit 2",Tradition Book: Dreamspeakers (First Edition) page 67; Enlightened Grimoire p. 115,Movement and Communication,
Transephemeration Ray Projector,"Matter 3, Life 3; Correspondence 5, Matter 3",Mage: The Ascension First Edition page 225; Enlightened Grimoire p. 83,Inanimate Objects,
Transfer Memories,Mind 3,Technocracy: Progenitors page 42; Enlightened Grimoire p. 193,Uncanny Influence,
Transformers,Matter 4,Mage: The Ascension Second Edition page 207; Mage: The Ascension Revised page 174; Enlightened Grimoire p. 84,Inanimate Objects,
Transmutation,Matter 4,Mage: The Ascension First Edition page 204; Enlightened Grimoire p. 93,Inanimate Objects,
Trickshot,"Correspondence 1, Entropy 1, Forces 1, Mind 1",Initiates of the Art page 81; Enlightened Grimoire p. 65,Enhanced Combat,
True Form,"Mind 1, Entropy 1, Spirit 1, optional Life 1",Tradition Book: Cult of Ecstasy (Revised) page 70; Enlightened Grimoire p. 126,Mystic Perception,
